country_code,date,spread_vs_de
AT,2019-09-30,25.0
AT,2019-10-31,23.2
AT,2019-11-30,22.9
AT,2019-12-31,21.3
AT,2020-01-31,18.0
AT,2020-02-29,24.3
AT,2020-03-31,48.0
AT,2020-04-30,43.6
AT,2020-05-31,33.7
AT,2020-06-30,24.6
AT,2020-07-31,22.2
AT,2020-08-31,17.4
AT,2020-09-30,17.5
AT,2020-10-31,19.4
AT,2020-11-30,15.5
AT,2020-12-31,14.8
AT,2021-01-31,13.9
AT,2021-02-28,23.4
AT,2021-03-31,23.7
AT,2021-04-30,23.7
AT,2021-05-31,23.8
AT,2021-06-30,20.7
AT,2021-07-31,24.7
AT,2021-08-31,22.6
AT,2021-09-30,22.9
AT,2021-10-31,25.4
AT,2021-11-30,25.8
AT,2021-12-31,28.14
AT,2022-01-31,24.4
AT,2022-02-28,36.9
AT,2022-03-31,45.3
AT,2022-04-30,50.2
AT,2022-05-31,55.7
AT,2022-06-30,56.9
AT,2022-07-31,52.9
AT,2022-08-31,63.6
AT,2022-09-30,70.7
AT,2022-10-31,67.2
AT,2022-11-30,58.8
AT,2022-12-31,64.1
AT,2023-01-31,63.7
AT,2023-02-28,65.2
AT,2023-03-31,62.5
AT,2023-04-30,67.1
AT,2023-05-31,70.1
AT,2023-06-30,64.7
AT,2023-07-31,64.8
AT,2023-08-31,58.8
AT,2023-09-30,62.8
AT,2023-10-31,64.1
AT,2023-11-30,57.1
AT,2023-12-31,56.7
AT,2024-01-31,54.2
AT,2024-02-29,48.6
AT,2024-03-31,52.05
AT,2024-04-30,46.55
AT,2024-05-31,50.4
AT,2024-06-30,57.6
AT,2024-07-31,49.9
AT,2024-08-31,52.0
AT,2024-09-30,51.5
AT,2024-10-31,47.8
AT,2024-11-30,42.95
AT,2024-12-31,39.75
AT,2025-01-31,35.35
AT,2025-02-28,43.5
AT,2025-03-31,41.5
AT,2025-04-30,44.4
AT,2025-05-31,38.0
AT,2025-06-30,39.5
AT,2025-07-31,32.4
AT,2025-08-31,32.49
AT,2025-09-30,29.95
AT,2025-10-31,29.78
AT,2025-11-17,26.92
AT,2025-11-18,28.53
BE,1995-06-30,67.06
BE,1995-07-31,53.7
BE,1995-08-31,53.88
BE,1995-09-30,53.34
BE,1995-10-31,52.92
BE,1995-11-30,55.83
BE,1995-12-31,67.49
BE,1996-01-31,45.0
BE,1996-02-29,45.7
BE,1996-03-31,33.3
BE,1996-04-30,28.2
BE,1996-05-31,20.6
BE,1996-06-30,17.0
BE,1996-07-31,40.8
BE,1996-08-31,26.5
BE,1996-09-30,15.4
BE,1996-10-31,12.0
BE,1996-11-30,15.4
BE,1996-12-31,6.1
BE,1997-01-31,2.9
BE,1997-02-28,16.0
BE,1997-03-31,8.1
BE,1997-04-30,13.4
BE,1997-05-31,9.3
BE,1997-06-30,11.0
BE,1997-07-31,9.6
BE,1997-08-31,9.0
BE,1997-09-30,8.4
BE,1997-10-31,15.1
BE,1997-11-30,13.2
BE,1997-12-31,12.1
BE,1998-01-31,14.6
BE,1998-02-28,13.3
BE,1998-03-31,14.3
BE,1998-04-30,14.1
BE,1998-05-31,13.5
BE,1998-06-30,16.9
BE,1998-07-31,14.6
BE,1998-08-31,33.7
BE,1998-09-30,26.7
BE,1998-10-31,18.6
BE,1998-11-30,23.8
BE,1998-12-31,19.7
BE,1999-01-31,25.8
BE,1999-02-28,23.6
BE,1999-03-31,27.3
BE,1999-04-30,34.5
BE,1999-05-31,28.5
BE,1999-06-30,29.4
BE,1999-07-31,27.2
BE,1999-08-31,35.3
BE,1999-09-30,23.7
BE,1999-10-31,26.1
BE,1999-11-30,18.3
BE,1999-12-31,23.4
BE,2000-01-31,26.52
BE,2000-02-29,28.47
BE,2000-03-31,27.84
BE,2000-04-30,27.44
BE,2000-05-31,37.52
BE,2000-06-30,33.68
BE,2000-07-31,30.24
BE,2000-08-31,34.89
BE,2000-09-30,35.56
BE,2000-10-31,33.51
BE,2000-11-30,35.81
BE,2000-12-31,35.37
BE,2001-01-31,34.83
BE,2001-02-28,35.96
BE,2001-03-31,38.78
BE,2001-04-30,34.66
BE,2001-05-31,31.88
BE,2001-06-30,32.75
BE,2001-07-31,30.48
BE,2001-08-31,27.54
BE,2001-09-30,22.99
BE,2001-10-31,28.79
BE,2001-11-30,27.25
BE,2001-12-31,19.5
BE,2002-01-31,22.41
BE,2002-02-28,21.73
BE,2002-03-31,23.04
BE,2002-04-30,22.23
BE,2002-05-31,21.93
BE,2002-06-30,24.25
BE,2002-07-31,21.74
BE,2002-08-31,19.24
BE,2002-09-30,20.5
BE,2002-10-31,12.82
BE,2002-11-30,11.68
BE,2002-12-31,11.28
BE,2003-01-31,17.24
BE,2003-02-28,14.55
BE,2003-03-31,13.6
BE,2003-04-30,11.39
BE,2003-05-31,13.69
BE,2003-06-30,9.9
BE,2003-07-31,8.14
BE,2003-08-31,4.63
BE,2003-09-30,6.72
BE,2003-10-31,2.55
BE,2003-11-30,5.09
BE,2003-12-31,5.66
BE,2004-01-31,16.39
BE,2004-02-29,13.6
BE,2004-03-31,16.0
BE,2004-04-30,11.2
BE,2004-05-31,8.8
BE,2004-06-30,8.7
BE,2004-07-31,8.1
BE,2004-08-31,8.7
BE,2004-09-30,10.5
BE,2004-10-31,8.2
BE,2004-11-30,0.8
BE,2004-12-31,0.4
BE,2005-01-31,-0.2
BE,2005-02-28,-1.0
BE,2005-03-31,8.5
BE,2005-04-30,10.5
BE,2005-05-31,7.8
BE,2005-06-30,5.2
BE,2005-07-31,7.9
BE,2005-08-31,6.1
BE,2005-09-30,3.6
BE,2005-10-31,3.9
BE,2005-11-30,2.2
BE,2005-12-31,5.1
BE,2006-01-31,3.7
BE,2006-02-28,5.7
BE,2006-03-31,5.5
BE,2006-04-30,4.6
BE,2006-05-31,3.0
BE,2006-06-30,1.0
BE,2006-07-31,2.6
BE,2006-08-31,2.4
BE,2006-09-30,2.1
BE,2006-10-31,3.6
BE,2006-11-30,7.1
BE,2006-12-31,5.1
BE,2007-01-31,5.4
BE,2007-02-28,7.8
BE,2007-03-31,6.7
BE,2007-04-30,6.7
BE,2007-05-31,7.2
BE,2007-06-30,9.1
BE,2007-07-31,16.2
BE,2007-08-31,17.4
BE,2007-09-30,14.8
BE,2007-10-31,14.2
BE,2007-11-30,20.2
BE,2007-12-31,10.5
BE,2008-01-31,28.7
BE,2008-02-29,30.4
BE,2008-03-31,40.3
BE,2008-04-30,29.8
BE,2008-05-31,26.5
BE,2008-06-30,34.7
BE,2008-07-31,36.6
BE,2008-08-31,37.9
BE,2008-09-30,62.2
BE,2008-10-31,73.0
BE,2008-11-30,71.9
BE,2008-12-31,82.4
BE,2009-01-31,110.1
BE,2009-02-28,108.3
BE,2009-03-31,94.2
BE,2009-04-30,68.7
BE,2009-05-31,60.5
BE,2009-06-30,57.6
BE,2009-07-31,43.6
BE,2009-08-31,44.6
BE,2009-09-30,43.3
BE,2009-10-31,41.3
BE,2009-11-30,41.0
BE,2009-12-31,32.8
BE,2010-01-31,57.6
BE,2010-02-28,55.6
BE,2010-03-31,44.8
BE,2010-04-30,45.5
BE,2010-05-31,51.8
BE,2010-06-30,89.4
BE,2010-07-31,63.2
BE,2010-08-31,71.7
BE,2010-09-30,86.6
BE,2010-10-31,81.3
BE,2010-11-30,136.6
BE,2010-12-31,102.2
BE,2011-01-31,110.4
BE,2011-02-28,111.4
BE,2011-03-31,94.7
BE,2011-04-30,99.8
BE,2011-05-31,116.2
BE,2011-06-30,109.3
BE,2011-07-31,183.5
BE,2011-08-31,182.2
BE,2011-09-30,176.1
BE,2011-10-31,237.8
BE,2011-11-30,275.6
BE,2011-12-31,230.4
BE,2012-01-31,203.8
BE,2012-02-29,190.0
BE,2012-03-31,175.4
BE,2012-04-30,176.8
BE,2012-05-31,186.0
BE,2012-06-30,161.4
BE,2012-07-31,134.9
BE,2012-08-31,122.4
BE,2012-09-30,110.2
BE,2012-10-31,96.4
BE,2012-11-30,78.3
BE,2012-12-31,74.6
BE,2013-01-31,82.6
BE,2013-02-28,89.6
BE,2013-03-31,95.0
BE,2013-04-30,74.5
BE,2013-05-31,72.5
BE,2013-06-30,90.5
BE,2013-07-31,85.0
BE,2013-08-31,88.7
BE,2013-09-30,78.7
BE,2013-10-31,72.8
BE,2013-11-30,64.9
BE,2013-12-31,61.9
BE,2014-01-31,49.8
BE,2014-02-28,71.2
BE,2014-03-31,64.6
BE,2014-04-30,60.7
BE,2014-05-31,53.4
BE,2014-06-30,45.0
BE,2014-07-31,38.2
BE,2014-08-31,33.6
BE,2014-09-30,27.1
BE,2014-10-31,26.1
BE,2014-11-30,22.2
BE,2014-12-31,28.3
BE,2015-01-31,29.9
BE,2015-02-28,23.6
BE,2015-03-31,26.2
BE,2015-04-30,26.9
BE,2015-05-31,32.1
BE,2015-06-30,44.5
BE,2015-07-31,30.7
BE,2015-08-31,35.0
BE,2015-09-30,31.6
BE,2015-10-31,28.6
BE,2015-11-30,31.0
BE,2015-12-31,34.3
BE,2016-01-31,28.1
BE,2016-02-29,33.5
BE,2016-03-31,22.6
BE,2016-04-30,40.6
BE,2016-05-31,38.6
BE,2016-06-30,38.4
BE,2016-07-31,23.7
BE,2016-08-31,23.9
BE,2016-09-30,28.4
BE,2016-10-31,23.0
BE,2016-11-30,35.6
BE,2016-12-31,32.8
BE,2017-01-31,55.0
BE,2017-02-28,49.9
BE,2017-03-31,51.6
BE,2017-04-30,46.0
BE,2017-05-31,35.3
BE,2017-06-30,33.7
BE,2017-07-31,29.4
BE,2017-08-31,30.2
BE,2017-09-30,27.2
BE,2017-10-31,24.3
BE,2017-11-30,19.6
BE,2017-12-31,21.2
BE,2018-01-31,15.4
BE,2018-02-28,28.4
BE,2018-03-31,26.83
BE,2018-04-30,25.4
BE,2018-05-31,39.7
BE,2018-06-30,38.7
BE,2018-07-31,31.2
BE,2018-08-31,37.2
BE,2018-09-30,36.0
BE,2018-10-31,39.3
BE,2018-11-30,45.6
BE,2018-12-31,52.3
BE,2019-01-31,57.5
BE,2019-02-28,50.5
BE,2019-03-31,48.0
BE,2019-04-30,43.3
BE,2019-05-31,48.9
BE,2019-06-30,39.3
BE,2019-07-31,31.9
BE,2019-08-31,35.7
BE,2019-09-30,31.8
BE,2019-10-31,30.3
BE,2019-11-30,29.6
BE,2019-12-31,28.4
BE,2020-01-31,24.6
BE,2020-02-29,38.9
BE,2020-03-31,53.9
BE,2020-04-30,56.7
BE,2020-05-31,43.7
BE,2020-06-30,32.7
BE,2020-07-31,31.1
BE,2020-08-31,25.5
BE,2020-09-30,23.5
BE,2020-10-31,24.4
BE,2020-11-30,19.9
BE,2020-12-31,19.1
BE,2021-01-31,18.6
BE,2021-02-28,30.4
BE,2021-03-31,31.0
BE,2021-04-30,33.5
BE,2021-05-31,32.8
BE,2021-06-30,31.6
BE,2021-07-31,34.6
BE,2021-08-31,33.1
BE,2021-09-30,32.4
BE,2021-10-31,34.6
BE,2021-11-30,34.2
BE,2021-12-31,35.7
BE,2022-01-31,33.8
BE,2022-02-28,50.8
BE,2022-03-31,47.7
BE,2022-04-30,57.7
BE,2022-05-31,60.3
BE,2022-06-30,68.4
BE,2022-07-31,59.3
BE,2022-08-31,64.0
BE,2022-09-30,66.5
BE,2022-10-31,59.5
BE,2022-11-30,53.6
BE,2022-12-31,63.2
BE,2023-01-31,65.5
BE,2023-02-28,66.3
BE,2023-03-31,66.3
BE,2023-04-30,68.8
BE,2023-05-31,68.9
BE,2023-06-30,66.2
BE,2023-07-31,66.9
BE,2023-08-31,62.0
BE,2023-09-30,65.5
BE,2023-10-31,65.1
BE,2023-11-30,61.5
BE,2023-12-31,66.0
BE,2024-01-31,59.9
BE,2024-02-29,56.6
BE,2024-03-31,58.55
BE,2024-04-30,51.85
BE,2024-05-31,55.7
BE,2024-06-30,65.1
BE,2024-07-31,59.0
BE,2024-08-31,59.5
BE,2024-09-30,62.5
BE,2024-10-31,59.0
BE,2024-11-30,59.05
BE,2024-12-31,60.85
BE,2025-01-31,60.15
BE,2025-02-28,59.9
BE,2025-03-31,56.2
BE,2025-04-30,59.1
BE,2025-05-31,51.7
BE,2025-06-30,56.15
BE,2025-07-31,52.1
BE,2025-08-31,57.84
BE,2025-09-30,55.12
BE,2025-10-31,53.12
BE,2025-11-17,51.4
BE,2025-11-18,53.73
ES,1995-06-30,485.76
ES,1995-07-31,446.8
ES,1995-08-31,432.28
ES,1995-09-30,439.74
ES,1995-10-31,446.52
ES,1995-11-30,416.03
ES,1995-12-31,368.69
ES,1996-01-31,362.4
ES,1996-02-29,319.2
ES,1996-03-31,327.5
ES,1996-04-30,278.0
ES,1996-05-31,260.6
ES,1996-06-30,230.3
ES,1996-07-31,257.9
ES,1996-08-31,247.5
ES,1996-09-30,177.3
ES,1996-10-31,184.7
ES,1996-11-30,144.8
ES,1996-12-31,106.1
ES,1997-01-31,91.2
ES,1997-02-28,128.7
ES,1997-03-31,126.1
ES,1997-04-30,103.6
ES,1997-05-31,78.0
ES,1997-06-30,69.6
ES,1997-07-31,56.7
ES,1997-08-31,61.6
ES,1997-09-30,38.8
ES,1997-10-31,42.0
ES,1997-11-30,37.3
ES,1997-12-31,28.1
ES,1998-01-31,26.7
ES,1998-02-28,20.7
