country,country_code,type,ticker,yield,date
AU,AU,52W,AU52W,0.09,2021-04-30
AU,AU,52W,AU52W,0.029,2021-05-31
AU,AU,52W,AU52W,0.006,2021-06-30
AU,AU,52W,AU52W,0.02,2021-07-31
AU,AU,52W,AU52W,0.009,2021-08-31
AU,AU,52W,AU52W,0.037,2021-09-30
AU,AU,52W,AU52W,0.306,2021-10-31
AU,AU,52W,AU52W,0.255,2021-11-30
AU,AU,52W,AU52W,0.286,2021-12-31
AU,AU,52W,AU52W,0.619,2022-01-31
AU,AU,52W,AU52W,0.589,2022-02-28
AU,AU,52W,AU52W,1.036,2022-03-31
AU,AU,52W,AU52W,1.878,2022-04-30
AU,AU,52W,AU52W,2.038,2022-05-31
AU,AU,52W,AU52W,2.416,2022-06-30
AU,AU,52W,AU52W,2.32,2022-07-31
AU,AU,52W,AU52W,2.792,2022-08-31
AU,AU,52W,AU52W,3.2,2022-09-30
AU,AU,52W,AU52W,3.149,2022-10-31
AU,AU,52W,AU52W,3.076,2022-11-30
AU,AU,52W,AU52W,3.354,2022-12-31
AU,AU,52W,AU52W,3.236,2023-01-31
AU,AU,52W,AU52W,3.809,2023-02-28
AU,AU,52W,AU52W,3.161,2023-03-31
AU,AU,52W,AU52W,3.375,2023-04-30
AU,AU,52W,AU52W,3.818,2023-05-31
AU,AU,52W,AU52W,4.362,2023-06-30
AU,AU,52W,AU52W,4.158,2023-07-31
AU,AU,52W,AU52W,4.004,2023-08-31
AU,AU,52W,AU52W,4.238,2023-09-30
AU,AU,52W,AU52W,4.564,2023-10-31
AU,AU,52W,AU52W,4.357,2023-11-30
AU,AU,52W,AU52W,3.984,2023-12-31
AU,AU,52W,AU52W,3.993,2024-01-31
AU,AU,52W,AU52W,3.955,2024-02-29
AU,AU,52W,AU52W,3.99,2024-03-31
AU,AU,52W,AU52W,4.367,2024-04-30
AU,AU,52W,AU52W,4.356,2024-05-31
AU,AU,52W,AU52W,4.43,2024-06-30
AU,AU,52W,AU52W,4.212,2024-07-31
AU,AU,52W,AU52W,4.218,2024-08-31
AU,AU,52W,AU52W,3.794,2024-09-30
AU,AU,52W,AU52W,4.185,2024-10-31
AU,AU,52W,AU52W,4.139,2024-11-30
AU,AU,52W,AU52W,4.084,2024-12-31
AU,AU,52W,AU52W,3.982,2025-01-31
AU,AU,52W,AU52W,3.858,2025-02-28
AU,AU,52W,AU52W,3.774,2025-03-31
AU,AU,52W,AU52W,3.475,2025-04-30
AU,AU,52W,AU52W,3.463,2025-05-31
AU,AU,52W,AU52W,3.316,2025-06-30
AU,AU,52W,AU52W,3.497,2025-07-31
AU,AU,52W,AU52W,3.397,2025-08-31
AU,AU,52W,AU52W,3.588,2025-09-30
AU,AU,52W,AU52W,3.605,2025-10-31
AU,AU,5Y,AU5Y,8.61,1995-06-30
AU,AU,5Y,AU5Y,8.89,1995-07-31
AU,AU,5Y,AU5Y,8.44,1995-08-31
AU,AU,5Y,AU5Y,8.1,1995-09-30
AU,AU,5Y,AU5Y,8.33,1995-10-31
AU,AU,5Y,AU5Y,7.74,1995-11-30
AU,AU,5Y,AU5Y,7.78,1995-12-31
AU,AU,5Y,AU5Y,7.65,1996-01-31
AU,AU,5Y,AU5Y,8.24,1996-02-29
AU,AU,5Y,AU5Y,8.61,1996-03-31
AU,AU,5Y,AU5Y,8.4,1996-04-30
AU,AU,5Y,AU5Y,8.61,1996-05-31
AU,AU,5Y,AU5Y,8.59,1996-06-30
