Date,US_10Y,US_30Y,US_5Y,Germany_5Y,Germany_10Y,UK_5Y,UK_10Y,US_CPI,Germany_CPI,France_CPI,Italy_CPI,Spain_CPI,Poland_CPI,UK_CPI_YoY
2012-05-01,2.09,2.25,1.72,N/A,N/A,N/A,N/A,1.7379429374660749,1.9627177768887893,1.9828565527212572,3.2195042960145193,1.942958068799494,3.442492425538801,2.8
2012-06-01,2.13,2.2,1.72,N/A,N/A,N/A,N/A,1.653870448297634,1.6666612370952683,1.9296254256526701,3.3138394411005745,1.896086419798837,4.047213345694289,2.4
2012-07-01,2.2,2.2,1.83,N/A,N/A,N/A,N/A,1.4175114798464783,1.8590901267603543,1.938225538971805,3.1098214361268806,2.206673296770445,3.891704923042072,2.6
2012-08-01,2.25,2.3,1.95,N/A,N/A,N/A,N/A,1.6859349154821235,2.1505320010587026,2.0829036914827848,3.197677083333339,2.6544719486570223,3.553295799299283,2.5
2012-09-01,2.42,2.44,2.11,N/A,N/A,N/A,N/A,1.9497168982819613,2.0487768965170794,1.9089877205654915,3.197677083333339,3.4121804852216053,3.5502921711426216,2.2
2012-10-01,2.5,2.49,2.12,N/A,N/A,N/A,N/A,2.1556780595369363,2.0487768965170794,1.8529956763434274,2.6011582244645615,3.4752838433668165,3.274566468920437,2.7
2012-11-01,2.41,2.45,2.01,N/A,N/A,N/A,N/A,1.7960197033926262,1.9474183274458712,1.4166923313828184,2.50722748284562,2.9299027273069322,2.668898527224095,2.7
2012-12-01,2.45,2.55,2.09,N/A,N/A,N/A,N/A,1.7595049796895523,2.0408127124924347,1.3292433537832382,2.3054774089422914,2.868281849667831,2.3255790224445905,2.7
2013-01-01,2.59,2.6,2.33,N/A,N/A,N/A,N/A,1.684061762098299,1.6536912236622792,1.1697106505232924,2.2030600842618764,2.68310354158674,1.7326715110651092,2.7
2013-02-01,2.53,2.6,2.18,N/A,N/A,N/A,N/A,2.0181404902574807,1.545890527789262,1.042305334150817,1.9084019970792232,2.7540927913589197,1.314706971964541,2.8
2013-03-01,2.51,2.54,2.24,N/A,N/A,N/A,N/A,1.5187472411246183,1.4409316265128647,0.9729401033748752,1.6144294603489762,2.4273345465052554,0.9811928001663528,2.8
2013-04-01,2.34,2.45,2.06,N/A,N/A,N/A,N/A,1.138808047576867,1.1549517045519098,0.6882591093117396,1.1342164997266702,1.3855569855685035,0.8130073180646402,2.4
2013-05-01,2.21,2.39,1.87,N/A,N/A,N/A,N/A,1.3903888279197085,1.539939044960681,0.8000000000000007,1.1342164997266702,1.7223535772501908,0.5681812516141527,2.7
2013-06-01,1.99,2.19,1.76,N/A,N/A,N/A,N/A,1.7157935271568725,1.8322091105100524,0.9313626240129658,1.2264228918210218,2.0631234879723515,0.40518598235699255,2.9
2013-07-01,2.22,2.27,1.87,N/A,N/A,N/A,N/A,1.885471805415806,1.921238736398756,1.067615658362997,1.225246631937038,1.7740269664578534,1.2214971493397897,2.8
2013-08-01,2.1,2.32,1.78,N/A,N/A,N/A,N/A,1.538809488600279,1.531107742111515,0.8686868686868632,1.2206851797475604,1.5193283906525634,1.225488966082744,2.7
2013-09-01,2.19,2.29,1.74,N/A,N/A,N/A,N/A,1.0947341081747997,1.4340334175347191,0.8809234507897834,0.9389645297450455,0.3416315725425889,1.2244885679300266,2.7
2013-10-01,2.17,2.31,1.74,N/A,N/A,N/A,N/A,0.8767991434911471,1.242833060917059,0.5659995957145725,0.7511776801339076,-0.09949923990888454,0.9756087816775727,2.2
2013-11-01,2.15,2.29,1.69,N/A,N/A,N/A,N/A,1.2328701961954458,1.3371549167412233,0.6782062961838031,0.6585108246332183,0.2321226447325353,0.7311121867000558,2.1
2013-12-01,2.24,2.28,1.69,N/A,N/A,N/A,N/A,1.5128383667573297,1.4285704077118933,0.7063572149344166,0.6572741614318867,0.25214815782417244,0.7305187520753487,2.0
